Mu_xi,Mu_yi,Mu_zi,Mu_xf,Mu_yf,Mu_zf,E (Ry),dE (Ry),dE (K),NN ion,NN dist (A),Multipl,Dist cluster,Bond order cluster
0.002,0.469,0.169,0.11855555,0.301448227,0.017728612,-1473.03731233,0.0,0.0,O,1.00169857998,4.0,2.0,3
0.035,0.701,0.515,0.19015203,0.623754462,0.49092315,-1473.03612657,0.0011857599999984814,187.21675872664798,O,1.00764346164,4.0,3.0,2
0.029,0.48,0.069,0.076998819,0.40199212399999995,0.996090741,-1473.0326875199999,0.0046248100002230785,730.1999881674722,O,0.992146689395,4.0,1.0,1
Structural information
A (Ang),B (Ang),C (Ang),alpha,beta,gamma,cell_volume (Ang^3),N_atoms,spg H-M
5.63650986769,5.58361122258,7.8232120963,90.0,89.815020544,90.0,246.211471859,21.0,14.0
Cartesian,Crystal,Axes
5.63650986769,0.0,0.0
0.0,5.58361122258,0.0
0.0252572007171,0.0,7.82317132482
Distances between final muon sites (Angstrom) 
0.0,1.46665568128,0.631620691822
1.46665568128,0.0,2.03649377871
1.46665568128,0.631620691822,0.0
 
X,0.00200011123891,0.468999863721,0.168999946684,0.11855555,0.301448227,0.017728612,1.00169857998,Final,Energy,-1473.03731233,Ry,-20041.693467054025,eV,-232574273.96622318,K
Atom,x_i,y_i,z_i,x_f,y_f,z_f,Mu-dist.(A),Displ.(A),Cart_x_i,Cart_y_i,Cart_z_i,Cart_x_f,Cart_y_f,Cart_z_f,Change in dist. to final muon si
Pb,0.006,0.512,0.251,0.985998461,0.524241668,0.279322851,2.373054981649309,0.2593521496566889,0.03902437606894764,2.8576913387849814,1.9612687005414722,-0.07186489942375399,2.9271616607894595,2.1851905183101823,0.2518938947473002
Pb,0.994,0.488,0.749,0.997228626,0.518388623,0.718536526,2.3120730492914574,0.2942767693889793,5.622745510592513,2.7259181928432046,5.861900369674628,5.6390372120511145,2.8944805330411865,5.621234346039014,0.2668553706977774
Pb,0.494,0.012,0.249,0.500262694,0.998496893,0.253880134,3.8556264452329354,0.08931423141640393,2.7918602854362895,0.06588685479638183,1.950315834566578,2.826147912670415,-0.008392765113940279,1.9861477842502708,0.08328515195922925
Pb,0.506,0.988,0.751,0.48238551599999996,0.013440743999999949,0.757030755,3.6603285187540218,0.19922861148704174,2.8699096012251717,5.517723240482791,5.872853235649522,2.7380911986925134,5.658659111619386,5.922381294522871,-0.19133190795515498
Co,0.0,0.0,0.0,0.985839362,0.987994949,0.002105184,2.368451225730258,0.10548299770210866,0.0,0.0,0.0,-0.07976340476494319,-0.06703153749125901,0.016469215102269966,0.08212361899469567
Co,0.5,0.5,0.5,0.49488305399999993,0.504582005,0.505651364,4.531979921179858,0.058592125296868025,2.830884661505237,2.791805047639586,3.91158453510805,2.8021845552167033,2.8173897458304955,3.9557972512009436,-0.049147008344823995
Os,0.0,0.0,0.5,0.99443991,0.012784651,0.50478343,4.441181184531787,0.0864342901245224,0.012629727660531664,0.0,3.91158453510805,-0.01859008574005682,0.07138452080038327,3.9490072548203075,-0.06433413398654064
Os,0.5,0.5,0.0,0.516087409,0.508950697,0.001260374,2.546411654144138,0.10403395338003489,2.8182549338447056,2.791805047639586,0.0,2.908963606937858,2.8417828235096962,0.009860121735348741,0.09987850276001442
O,0.934,0.991,0.258,0.9474186410000001,0.9658297889999999,0.256675704,3.2574161547317626,0.158282060310652,5.270456316399097,5.531124042693222,2.0191601660905367,5.346617428604527,5.39281804896358,2.008018007310798,0.07656051664734287
O,0.066,0.009,0.742,0.040755663,0.033673691,0.7523649090000001,2.812331699204687,0.21308387473860843,0.3913135702623638,0.05248605258595026,5.804008904125564,0.24872232818285211,0.1880207989733297,5.885879581889644,-0.14812004886322416
O,0.566,0.491,0.242,0.541452153,0.53910882,0.248012724,3.3700226652229244,0.3080708897386284,3.1969387764465376,2.7393189950536363,1.8924243690175135,3.0581645104166437,3.010174057544479,1.9402460305873086,-0.03248909170155301
O,0.434,0.509,0.758,0.457991029,0.4678167429999999,0.758677618,2.8584312628512865,0.2690206968001528,2.4648311102149236,2.844291100225537,5.930744701198587,2.600633027149137,2.6121068163261594,5.935264985920377,0.05685405926408693
O,0.241,0.282,0.035,0.206610768,0.293533653,0.032815414,0.9921466893950829,0.20603244826313727,1.3604201305517016,1.5756947882773764,0.27694033028214415,1.165392458100901,1.63897779909604,0.2567206058168983,-0.19123413619637353
O,0.759,0.718,0.965,0.814849903,0.68210988,0.97920067,2.1560026341066068,0.39089690495078194,4.301349192458773,4.007915307001796,7.546228739933957,4.617641386809784,3.8086363810014783,7.660454602788577,-0.3717800886543836
O,0.259,0.782,0.465,0.219983148,0.7382132169999999,0.500275914,4.381699698317407,0.43092350213801,1.4704645309535358,4.367499835916963,3.634644204825906,1.2525727536012168,4.12189560309893,3.91374418490294,0.021059425479137417
O,0.741,0.218,0.535,0.772190682,0.281710822,0.504899057,4.267517858157742,0.463167726935356,4.191305355707926,1.2161102593622097,4.188524865390194,4.365212735655348,1.5729637072417597,3.9499118246510827,0.06351791825072617
O,0.282,0.765,0.036,0.309420627,0.796898803,0.003437775,2.565553309846341,0.3500544714819918,1.5921088686630747,4.269227850024785,0.28554558989714557,1.74413924592534,4.449573099692282,0.026894302801183236,0.21170116128005745
O,0.718,0.235,0.963,0.692274097,0.19665373500000002,0.004447856000000083,2.453630383829689,0.4119090502171722,4.069661017998387,1.314381681603401,7.537623480318954,3.9273793199951457,1.0980380017084987,7.857967664336176,0.20975481857675282
O,0.218,0.265,0.463,0.256257059,0.240768392,0.464033916,3.9059884708552635,0.2548734017777452,1.2387763564931493,1.477423366036185,3.626038945210905,1.4561156394745292,1.3443570956140165,3.6302168253951543,0.08405053339291779
O,0.782,0.735,0.536,0.7356723780000001,0.772810102,0.545497086,4.5230946012732165,0.3428427757412747,4.422993530168312,4.106186729242988,4.197130125005196,4.160402347375238,4.31507115845128,4.2675171609680955,0.14236375429748982
X,0.029,0.48,0.069,0.076998819,0.40199212399999995,0.996090741,0.0,0.7663247699029977,0.1652015950140825,2.6801328231879635,0.539798404310853,0.4339058661547127,2.2445677349556314,-0.03058280291009469,0.0
